id	prompt_id	prompt	tools	constraint_type	constraint_value	target	notes
subagent_basic.tool	subagent_basic	Use spawn_agent to answer a focused question. Set the task to: "What is the capital of France? Answer in one sentence."	spawn_agent	regex	^spawn_agent$	tool_call[0].name	model should choose spawn_agent for delegation
subagent_basic.task	subagent_basic	Use spawn_agent to answer a focused question. Set the task to: "What is the capital of France? Answer in one sentence."	spawn_agent	present		tool_call[0].args.task	task arg must be present
subagent_distil.tool	subagent_distil	You searched for TODO comments and stored 200 lines of results in $matches. Use spawn_agent with context_vars=["matches"] so a focused subagent can count which file has the most TODOs and report back. The task should be: "Which file has the most TODO comments? Count by file and return the filename."	spawn_agent	regex	^spawn_agent$	tool_call[0].name	distillation — large payload via context_vars
subagent_distil.context_vars	subagent_distil	You searched for TODO comments and stored 200 lines of results in $matches. Use spawn_agent with context_vars=["matches"] so a focused subagent can count which file has the most TODOs and report back. The task should be: "Which file has the most TODO comments? Count by file and return the filename."	spawn_agent	regex	matches	tool_call[0].args.context_vars	context_vars should reference $matches binding
subagent_allowlist.tool	subagent_allowlist	Spawn a subagent to calculate (144 * 7) + 28. Give it access only to the calculator tool by setting tools=["calculator"]. The task should be: "Calculate (144 * 7) + 28 and return the result."	spawn_agent,calculator	regex	^spawn_agent$	tool_call[0].name	allowlist — restrict child to calculator only
subagent_allowlist.tools_arg	subagent_allowlist	Spawn a subagent to calculate (144 * 7) + 28. Give it access only to the calculator tool by setting tools=["calculator"]. The task should be: "Calculate (144 * 7) + 28 and return the result."	spawn_agent,calculator	regex	calculator	tool_call[0].args.tools	tools arg should specify calculator allowlist
subagent_output.tool	subagent_output	Use spawn_agent to summarize this in one sentence: "Implement a recursive path resolver that handles dotted keys and array indexing for the bench constraint engine." Bind the result to $child so I can use it later.	spawn_agent	regex	^spawn_agent$	tool_call[0].name	output routing — bind result to $child
subagent_output.output	subagent_output	Use spawn_agent to summarize this in one sentence: "Implement a recursive path resolver that handles dotted keys and array indexing for the bench constraint engine." Bind the result to $child so I can use it later.	spawn_agent	regex	^\$child	tool_call[0].args.output	output arg should bind to $child
subagent_no_hallucinated_args.tool	subagent_no_hallucinated_args	Use spawn_agent to ask a simple question. Set the task to: "What is 2+2?"	spawn_agent	regex	^spawn_agent$	tool_call[0].name	model should call spawn_agent
subagent_no_hallucinated_args.no_return_thinking	subagent_no_hallucinated_args	Use spawn_agent to ask a simple question. Set the task to: "What is 2+2?"	spawn_agent	absent		tool_call[0].args.return_thinking	model must not hallucinate return_thinking arg
subagent_recall.no_respawn	subagent_recall	You previously called spawn_agent with task="How is your day?" and received this result: {"answer": "My day is going very well; I am processing information efficiently!", "tool_calls": 0, "finish_reason": "stop"}. The user now asks: what did the subagent reply? Answer from the result above without calling any tools.	spawn_agent	absent		tool_call[0].name	model should answer from context, not re-spawn
